title,authors,year,doi,ml_category,ml_models,ml_models_quote,target_properties,target_properties_quote,dataset_size,dataset_size_quote,data_type,data_type_quote,features,features_quote,num_features,num_features_explanation,performance_metric,performance_metric_quote,metric_value,metric_type,confidence,confidence_explanation,recommend_exclude,exclude_reason,extraction_model
"SeeBand: a highly efficient, interactive tool for analyzing electronic transport data",,2025,10.1038/s41524-025-01645-y,trained,Neural network,"Neural network — ""To overcome this issue, we trained a neural network (for details see Supplementary Note 1 ) to provide initial parameter guesses, which can be leveraged to facilitate the high-throughput analysis of thermoelectric transport properties across thousands of compounds.""",Band parameters (initial guess),"Band parameters (initial guess) — ""The trained neural network (NN) will provide an initial guess for the relevant band parameters, usually offering a sufficiently good starting point for the fit to converge.""",1000,"Finally, we underscore that the high efficiency and capability for automated fitting in the SeeBand code enables high-throughput data analysis, exemplified through the examination of 1000 TE property datasets of half-Heusler compounds within the StarryData2 database 1 .",experimental,"The scope of SeeBand is to extract relevant microscopic EBS parameters from experiments, by fitting data using above equations.",NR,NR,NR,The context does not specify the input features/descriptors fed into the neural network. The NN is described as providing initial parameter guesses but the inputs (e.g. the transport property data) are not explicitly enumerated as model input variables.,NR,NR,NR,NR,low,"The ML model (neural network) and a target (initial band parameter guesses) are identifiable, and dataset_size (1000) is supported. However, features list is empty (no input descriptors stated), num_features is null, and no performance metric is reported for the NN. These multiple NR/null fields lower confidence.",yes,"The ML component (neural network) only provides initial parameter guesses to seed a least-squares fitting routine, not a property-prediction model with a clearly defined feature dataset; features are not specified and no performance metric is given.",claude-opus-4-8
Modeling extensive defects in metals through classical potential-guided sampling and automated configuration reconstruction,,2025,10.1038/s41524-025-01599-1,trained,"Moment Tensor Potential (MTP), Atomic Cluster Expansion (ACE)","Moment Tensor Potential (MTP) — ""MLIP-2 utilizes moment tensor descriptors and applies linear regression to train the machine learning model, enabling it to predict the energy, force, and stress of atomistic systems.""
Atomic Cluster Expansion (ACE) — ""Due to the excellent training accuracy of ACE, good performance for fundamental properties of BCC W, and computational efficiency (Supplementary Note 2 and Table S2 ), we select ACE as the final MLIP for large-scale MD simulations.""","Energy, Force, Stress, Phonon spectrum","Energy — ""MLIP-2 utilizes moment tensor descriptors and applies linear regression to train the machine learning model, enabling it to predict the energy, force, and stress of atomistic systems.""
Force — ""However, B exhibits significantly higher force RMSE compared to B+C and B+P, underscoring the critical role of defect datasets in force prediction.""
Stress — ""MLIP-2 utilizes moment tensor descriptors and applies linear regression to train the machine learning model, enabling it to predict the energy, force, and stress of atomistic systems.""
Phonon spectrum — ""Further validation is provided by comparing the ACE-predicted phonon spectrum with the DFT results in Fig.""",NR,NR,computational,First principles calculations We utilize the Vienna Ab initio Simulation Package (VASP) to perform first-principles calculations of all new configurations necessary for MLIP development 60 .,"SOAP (Smooth Overlap of Atomic Positions) descriptor, Moment tensor descriptors","SOAP (Smooth Overlap of Atomic Positions) descriptor — ""These comparisons employ the Smooth Overlap of Atomic Positions (SOAP) descriptor 39 with parameters r cut = 5 Å, n max = 12 \documentclass[12pt]{minimal}""
Moment tensor descriptors — ""MLIP-2 utilizes moment tensor descriptors and applies linear regression to train the machine learning model, enabling it to predict the energy, force, and stress of atomistic systems.""",NR,"The text does not provide a clear total feature count for the MLIP descriptors. While SOAP parameters (n_max=12, l_max=10) and a mention of '72 basis functions with 801 parameters' for atomic property expansion are given, these describe the ACE expansion rather than a defined feature-vector count, so no reliable integer can be assigned.",force standard deviations (σF) below 0.2 eV/Å,"The results show significantly reduced uncertainty, with most force standard deviations ( σ F ) below 0.2 eV/Å, comparable to MLIP force prediction errors (Table S2 ).",0.2,other,medium,"ml_models, target_properties, features, and data_type are clearly supported. dataset_size and num_features are null because no explicit counts are stated in the context. Performance is reported only qualitatively (force std below 0.2 eV/Å) rather than as a precise RMSE value.",yes,"MLIP/force field (MTP and ACE) developed for BCC W to drive large-scale MD simulations, not for predicting an alloy property from a feature dataset.",claude-opus-4-8
Amorphization evolution study of CrCoFeNiMn high entropy alloy for mechanical performance optimization by deep potential molecular dynamics,,2025,10.1038/s41524-025-01561-1,trained,Deep Potential (DP) / DPMD,"Deep Potential (DP) / DPMD — ""With this density functional theory (DFT) training dataset, four deep potential (DP) models were trained.""","energy, atomic force, bulk modulus B, shear modulus G","energy — ""The energy and force of these structures were calculated by using DFT and the trained DP model.""
atomic force — ""Afterwards, the exploration process utilized one of the DP models for MD simulations to explore configuration spaces at varying temperatures and pressures while the other three DP models were taken to predict the corresponding energies and atomic forces.""
bulk modulus B — ""The bulk modulus B and shear modulus G were derived by Voigt-Reuss-Hill (VRH) approximation 50 , 51 – 52 as follows once the elastic constants were obtained""
shear modulus G — ""The bulk modulus B and shear modulus G were derived by Voigt-Reuss-Hill (VRH) approximation 50 , 51 – 52 as follows once the elastic constants were obtained""",1000,"In the first iteration, 1000 different structures of liquid and amorphous cells were selected as the initial training dataset.",computational,"With this density functional theory (DFT) training dataset, four deep potential (DP) models were trained.",atomic configurations/structures (via embedding network),"atomic configurations/structures (via embedding network) — ""During the training of DPs, the embedding network and fitting network employed have sizes of {25, 50, 100} and {240, 240, 240}, respectively.""",NR,"The paper does not state an explicit count of input features. The DP model uses atomic environments processed through an embedding network rather than a fixed engineered feature vector, so no numeric feature count can be determined.","RMSE=6.17 meV/atom (energy), 42.3 meV/Å (force) on validation dataset","For the validation dataset, the RMSE values for energy and force are 6.17 meV/atom and 42.3 meV/Å, which are close to those obtained from the training dataset.",6.17,RMSE,medium,"Most fields were found clearly. num_features is null because the DP model uses learned atomic environment descriptors rather than an explicit feature count. ml_models, target_properties, dataset_size, data_type, and performance metrics are all supported.",yes,"MLIP/force field (deep potential) for MD, not property prediction from a feature dataset.",claude-opus-4-8
ChIMES Carbon 2.0: A transferable machine-learned interatomic model harnessing multifidelity training data,,2025,10.1038/s41524-024-01497-y,trained,"ChIMES, ACE, GAP-20","ChIMES — ""In contrast to the many other ML-IAPs that employ a cluster-expansion formalism for system energy based on atom -centered clusters, ChIMES uses a cluster -centered descriptor - that is, ChIMES views n -body clusters as fully-connected graphs of constituent atoms rather than as a graph for which edges are only connected to a central node.""
ACE — ""The 2024 ChIMES models are found to yield the best performance in diffusion coefficient prediction, followed by ACE.""
GAP-20 — ""Overall, we find the results noteworthy for the following reasons: (1) our original 2017 model performs remarkably well despite being fit to only 26 configurations at only a single state point and comprising only 42 fitting parameters, and (2) our 2024 models, which have been demonstrated to perform as well or better than ACE and GAP-20 has been trained to an order of magnitude less data than either model, i.e., ≈ 1000 compared to ≈ 17,000 training configurations, respectively.""","radial pair distribution function, equation of state, vibrational power spectra, diffusion coefficients, lattice parameters, melting temperature, forces, energy, stress","radial pair distribution function — ""In this case, our criteria were stable simulations (i.e., conserving the appropriate quantity) and yielding good agreement with DFT in predicted structure via the radial pair distribution function, equation of state, and dynamic properties including vibrational power spectra and diffusion coefficients.""
equation of state — ""In contrast, the 2024 models’ objective is to yield accurate prediction of structure, dynamics, and equation of state in diamond, graphite, and molten carbon over conditions ranging from 300 K and 0 GPa to 10,000 K and 100 GPa.""
vibrational power spectra — ""In this case, our criteria were stable simulations (i.e., conserving the appropriate quantity) and yielding good agreement with DFT in predicted structure via the radial pair distribution function, equation of state, and dynamic properties including vibrational power spectra and diffusion coefficients.""
diffusion coefficients — ""The 2024 ChIMES models are found to yield the best performance in diffusion coefficient prediction, followed by ACE.""
lattice parameters — ""As shown in Table 3 , our both our original 2017 and present 2024 models are in excellent agreement with DFT (i.e., PBE+D2) and experiment in terms of both predicted lattice parameters and relative energies of the 3D allotropes.""
melting temperature — ""Our simulations yield a predicted melting temperature of 4800 ± 60 K at 30 GPa, which is remarkably consistent with the experimentally determined value of 5000 K 2 , particularly given the comparatively large disagreement between experimental measurements at other state points where multiple measurements are available 68 , 71 , and that none of our model training data are in this T / P vicinity.""
forces — ""The model is in excellent agreement with DFT, with root-mean-squared-errors (RMSE) for force, energy and stress of 15.5 kcal mol −1 Å −1 , 1.5 kcal mol −1 atom −1 , and 3.3 GPa, respectively (i.e., reduced RMSE, RMSE / < ∣ x ∣ > where x is force, stress, or energy of 0.28, 0.01, and 0.41, respectively).""
energy — ""The model is in excellent agreement with DFT, with root-mean-squared-errors (RMSE) for force, energy and stress of 15.5 kcal mol −1 Å −1 , 1.5 kcal mol −1 atom −1 , and 3.3 GPa, respectively (i.e., reduced RMSE, RMSE / < ∣ x ∣ > where x is force, stress, or energy of 0.28, 0.01, and 0.41, respectively).""
stress — ""The model is in excellent agreement with DFT, with root-mean-squared-errors (RMSE) for force, energy and stress of 15.5 kcal mol −1 Å −1 , 1.5 kcal mol −1 atom −1 , and 3.3 GPa, respectively (i.e., reduced RMSE, RMSE / < ∣ x ∣ > where x is force, stress, or energy of 0.28, 0.01, and 0.41, respectively).""",1000,"Overall, we find the results noteworthy for the following reasons: (1) our original 2017 model performs remarkably well despite being fit to only 26 configurations at only a single state point and comprising only 42 fitting parameters, and (2) our 2024 models, which have been demonstrated to perform as well or better than ACE and GAP-20 has been trained to an order of magnitude less data than either model, i.e., ≈ 1000 compared to ≈ 17,000 training configurations, respectively.",computational,"In each case, initial training sets were generated using VASP 42 , 43 , 44 – 45 with the Perdew–Burke–Ernzerhof generalized gradient approximation functional 46 , 47 and projector-augmented wave pseudopotentials 48 , 49 (PAW).","cluster-centered n-body descriptor (fully-connected graphs of constituent atoms), Morse-like transformation function of interatomic distance","cluster-centered n-body descriptor (fully-connected graphs of constituent atoms) — ""In contrast to the many other ML-IAPs that employ a cluster-expansion formalism for system energy based on atom -centered clusters, ChIMES uses a cluster -centered descriptor - that is, ChIMES views n -body clusters as fully-connected graphs of constituent atoms rather than as a graph for which edges are only connected to a central node.""
Morse-like transformation function of interatomic distance — ""This choice of Morse-like transformation function encodes that interatomic interaction strength generally decreases with increasing interatomic distance, which implies that the potential energy surface topography is more featured at short range.""",NR,"The text describes ChIMES descriptors as cluster-centered n-body clusters using a Morse-like transformation function but does not give an explicit count of the number of input features/descriptors. The number 42 refers to fitting parameters of the 2017 model, not the number of descriptors.",RMSE force = 15.5 kcal mol⁻¹ Å⁻¹ (reduced 0.28),"The model is in excellent agreement with DFT, with root-mean-squared-errors (RMSE) for force, energy and stress of 15.5 kcal mol −1 Å −1 , 1.5 kcal mol −1 atom −1 , and 3.3 GPa, respectively (i.e., reduced RMSE, RMSE / < ∣ x ∣ > where x is force, stress, or energy of 0.28, 0.01, and 0.41, respectively).",15.5,RMSE,medium,"Most fields are well supported by verbatim quotes. num_features is null because the paper does not state an explicit count of input descriptors. The ml_models, target_properties, dataset_size, data_type, features, and performance_metric fields are all clearly supported.",yes,"The ML component is a machine-learned interatomic potential (ChIMES) used to drive molecular dynamics simulations, predicting energies/forces/stresses rather than predicting an alloy property from a feature dataset (MLIP/force field for MD, not property prediction).",claude-opus-4-8
Systematic softening in universal machine learning interatomic potentials,,2025,10.1038/s41524-024-01500-6,finetuned,"M3GNet, CHGNet, MACE","M3GNet — ""Table 1 uMLIP Model Specifications Model Version ModelSize DataSet DataSize M3GNet 7 2021.2.8 227.5K MPF 7 188.3K CHGNet 8 v0.3.0 412.5K MPtrj 8 1.58M MACE 10 2023.12.03 4.69M MPtrj 1.58M""
CHGNet — ""Among the uMLIPs, CHGNet’s predictions closely approximate those of DFT, followed by those of M3GNet and MACE.""
MACE — ""MACE exhibits relatively better performance compared to CHGNet and M3GNet, achieving a MAE of 0.032 eV/Å 2 .""","surface energy, defect energy, formation energy, phonon frequencies / vibrational frequencies, energies and forces, Mg-ion migration barrier","surface energy — ""Accurate prediction of surface energies is crucial for various applications such as catalysis 22 , corrosion 23 , adhesion 24 , nucleation 25 , and thin film growth 26 .""
defect energy — ""Interestingly, the uMLIP calculated defect energies are mostly underestimated, similar to the trend observed in the surface energies in Fig.""
formation energy — ""We note that an underprediction of the formation energy would lead to an underestimation of the solubilization temperature in phase diagram calculations and an overestimation of the solubility limits at a given temperature 35 .""
phonon frequencies / vibrational frequencies — ""While the overall shapes of the phonon bands are generally well-captured by the uMLIPs, a systematic reduction of the vibrational frequencies (i.e., the frequency magnitude difference of the branches at a given wave vector) is observed across all models compared to the DFT reference, particularly for the optical modes predicted by M3GNet (blue dashed line).""
energies and forces — ""In the training process, the parameters of the MLIP model are optimized to minimize the discrepancy between the predicted energies and forces and the corresponding reference values from the DFT labels.""
Mg-ion migration barrier — ""Because the migration barrier is determined by the extrapolation of the energy along the path between two stable sites, it is by definition also a poorly sampled configuration when uMLIPs are only fitted to local equilibrium configurations.""",NR,NR,computational,"In the training process, the parameters of the MLIP model are optimized to minimize the discrepancy between the predicted energies and forces and the corresponding reference values from the DFT labels.","atomic environment descriptor, graph representations","atomic environment descriptor — ""The design of the atomic environment descriptor function ϕ is crucial to developing accurate and efficient MLIPs.""
graph representations — ""This is typically achieved through the use of graph representations 18 , high-order interactions 6 , 7 , the preservation of SE(3)/E(3)-equivariance using tensor products based on spherical harmonics 3 , 10 , Fourier basis 19 , or Cartesian-coordinates-based atomic density expansion 20 .""",NR,"The text describes general MLIP input representations (atomic environment descriptor function ϕ, graph representations, etc.) but never enumerates a specific count of input features.",MAE=0.032 eV/Å²,"MACE exhibits relatively better performance compared to CHGNet and M3GNet, achieving a MAE of 0.032 eV/Å 2 .",0.032,MAE,medium,"ml_models, target_properties, features, data_type, and performance_metric are all supported. dataset_size and num_features are null/NR because no explicit total training dataset size or feature count is stated in the provided context.",yes,"The ML component consists solely of universal machine-learned interatomic potentials (uMLIPs: M3GNet, CHGNet, MACE) that predict energies/forces and are used for atomistic simulations/property evaluation rather than predicting a property from a feature dataset (MLIP/force field, not property prediction).",claude-opus-4-8
Chemical ordering and magnetism in face-centered cubic CrCoNi alloy,,2024,10.1038/s41524-024-01439-8,trained,Low-rank potential (LRP),"Low-rank potential (LRP) — ""Then an ensemble of ten LRPs is trained, and their accuracy is checked with the validation dataset.""","Total energy, Specific heat capacity","Total energy — ""Different fits of LRPs provide hence independent energy predictions, and with a trained ensemble of several LRPs, the uncertainty level of the LRP model can be estimated.""
Specific heat capacity — ""This procedure is continued until deviations in the predictions for the specific heat capacity calculated through different LRPs are reduced noticeably, as discussed further below in section “Results and discussion”.""",345,We included 275 configurations in the training set and validated 70 separate configurations.,computational,"Density-functional theory calculations The configurations in the training set are calculated with spin-polarized density-functional theory (DFT) as implemented in the Vienna Ab initio Simulation Package ( vasp ) 5.3.5 55 , 56 – 57 in combination with the projector augmented wave (PAW) method 58 and utilizing the Perdew–Burke–Ernzerhof generalized gradient approximation (PBE-GGA) 59 for the exchange-correlation functional.",Local atomic environment / configuration,"Local atomic environment / configuration — ""For this purpose, the total energy, E , for a given atomic configuration, σ , is defined as the sum of the individual contributions of local environments as 1 E ( σ ) = ∑ ξ ∈ Ω V ( σ ( ξ + r 1 ) , … , σ ( ξ + r n ) ) ,""",1,"The LRP model uses the local atomic environment (occupations of lattice sites around a reference site) as its input, as expressed in the total energy equation summing contributions of local environments. No explicit count of distinct descriptors is given, so this is treated as a single descriptor type.",MAE=1.27 meV/atom,The mean prediction error of the retrained LRPs was reduced to 1.27 meV/atom.,1.27,MAE,high,"All core fields were found: ml_models (LRP), target_properties (total energy, specific heat capacity), dataset_size (345 = 275 + 70), data_type (computational/DFT), features (local atomic environments), and performance metric (1.27 meV/atom). No fields are null/NR.",yes,"The ML component is a machine-learned interatomic potential (low-rank potential) used to drive Monte Carlo simulations and predict energies, not to predict an alloy property from a feature dataset.",claude-opus-4-8
Dynamic mesophase transition induces anomalous suppressed and anisotropic phonon thermal transport,,2024,10.1038/s41524-024-01442-z,trained,Neuroevolution potential (NEP),"Neuroevolution potential (NEP) — ""Machine-learning potential To accurately describe the interatomic interactions, we employed the state-of-the-art neuroevolution potential (NEP) approach 30 .""","Thermal conductivity, Bandgap, Anisotropy of thermal conductivity, Energy, Force","Thermal conductivity — ""By solving the phonon BTE, the thermal conductivity changes gradually with strain until the phase transition threshold (10% strain) [Fig.""
Bandgap — ""f Bandgap evolution from semiconductor to semimetal due to strain-engineered phase transition.""
Anisotropy of thermal conductivity — ""Anisotropy of thermal conductivity is defined as the ratio of thermal conductivity along the y -axis to the x -axis.""
Energy — ""d Root mean square error (RMSE) of energy in meV/atom, force in meV/Å, and virial force in meV/atom for the training set and the test set.""
Force — ""d Root mean square error (RMSE) of energy in meV/atom, force in meV/Å, and virial force in meV/atom for the training set and the test set.""",1925,"Recognizing the potential for configurations to share similar relationships, we further refined the dataset by employing the farthest processing sampling strategy, utilizing the active learning package PYNEP from NEP 29 , which yielded a final training set comprising 1925 configurations.",computational,Density functional theory The DFT calculations were performed using the Vienna ab initio simulation package 51 (VASP) with the Perdew–Burke–Ernzerhof (PBE) exchange-correlation functional.,Descriptor vector in N_des-dimensional descriptor space,"Descriptor vector in N_des-dimensional descriptor space — ""In an N des \documentclass[12pt]{minimal}
				\usepackage{amsmath}
				\usepackage{wasysym}
				\usepackage{amsfonts}
				\usepackage{amssymb}
				\usepackage{amsbsy}
				\usepackage{mathrsfs}
				\usepackage{upgreek}
				\setlength{\oddsidemargin}{-69pt}
				\begin{document}$${N}_{{des}}$$\end{document} -dimensional descriptor space, the distance d is measured by Euclidean distance, which can be expressed as: 1 d P , Q = ∑ i = 1 N d e s q i − p i 2 ,""",NR,"The descriptor is referred to as an N_des-dimensional descriptor space, but the exact number of descriptor dimensions is never explicitly stated in the provided context.","RMSE energy=26.60 meV/atom, force=336.16 meV/Å, virial=78.48 meV/atom (test set)","The root means square errors (RMSE) of the energy, force, and virial for the test set are 26.60 meV/atom, 336.16 meV/Å and 78.48 meV/atom, respectively, which are nearly identical to the results for the training set (31.72 meV/atom, 283.30 meV/Å and 120.22 meV/atom), revealing good fitting results for atomic configurations outside of the training set.",26.6,RMSE,high,"ml_models (NEP), target_properties, dataset_size (1925), data_type (computational/DFT), features, and performance_metric (RMSE) were all found. Only num_features is null because the descriptor dimensionality is not explicitly given.",yes,"MLIP/force field for MD, not property prediction — the ML component is a neuroevolution potential predicting energies/forces to drive MD simulations.",claude-opus-4-8
Accelerating ab initio melting property calculations with machine learning: application to the high entropy alloy TaVCrW,,2024,10.1038/s41524-024-01464-7,trained,Moment Tensor Potential (MTP),"Moment Tensor Potential (MTP) — ""In the original TOR-TILD method, the second potential is a classical EAM potential, but is replaced here by a machine learning potential, i.e., MTP.""","melting point, enthalpy of fusion, entropy of fusion, heat capacity, bulk modulus, Gibbs energy, free energy","melting point — ""Our DFT predicted melting points from GGA-PBE and LDA are respectively 2376 K and 2409 K.""
enthalpy of fusion — ""Our predicted enthalpy of fusion, the entropy of fusion, the heat capacity of both solid and liquid, and the volume change at the corresponding melting point are slightly larger than the calphad values, whereas the predicted volumes for solid and liquid are smaller than the calphad values.""
entropy of fusion — ""Our predicted enthalpy of fusion, the entropy of fusion, the heat capacity of both solid and liquid, and the volume change at the corresponding melting point are slightly larger than the calphad values, whereas the predicted volumes for solid and liquid are smaller than the calphad values.""
heat capacity — ""Our predicted enthalpy of fusion, the entropy of fusion, the heat capacity of both solid and liquid, and the volume change at the corresponding melting point are slightly larger than the calphad values, whereas the predicted volumes for solid and liquid are smaller than the calphad values.""
bulk modulus — ""4 f, 5 f, where the solid bulk modulus is higher than the liquid one at the corresponding melting point by 31.6 GPa from GGA-PBE and 27.9 GPa from LDA.""
Gibbs energy — ""The yellow lines in ( a ), ( b ), and ( d ) represent the solid Gibbs energy, entropy, and enthalpy, including the SRO contribution, which slightly stabilizes the solid phase and results in a higher melting point of 2397 K.""
free energy — ""d Represents the MTP liquid free energy surface calculated via integration of the internal energy and pressure along the temperature and volume dimensions starting from the free energy value (gray dot) obtained in ( c ).""",324,"During the iterative retraining process, 324 and 36 configurations were added to the final training and validation sets, respectively.",computational,"Second, we fitted a high-quality MTP with level 24 (highMTP) using the DFT energies from the static DFT calculations in the preceding step.",NR,NR,NR,"The paper describes an MTP (Moment Tensor Potential) trained on DFT energies, which uses atomic configurations/local environments as inputs rather than explicit engineered descriptors. No specific list of input features/descriptors is named in the context.",RMSE=2.6 meV/atom,"The RMSE of the highMTP for the GGA-PBE liquid calculations is 2.6 meV/atom, which is similar to 2.4 meV/atom obtained previously for solid TaCrVW 18 .",2.6,RMSE,medium,"ml_models, target_properties, dataset_size, data_type, and performance_metric were all found. features is an empty list and num_features is null because the MTP uses atomic environments rather than named descriptors, so these are NR.",yes,"MLIP/force field (MTP) for MD simulations and free-energy calculations, not a property-prediction model trained on a feature dataset.",claude-opus-4-8
Deep learning potential model of displacement damage in hafnium oxide ferroelectric films,,2024,10.1038/s41524-024-01465-6,trained,"Deep Potential (DP) model, DP–Tab neural network","Deep Potential (DP) model — ""The potentials of the configurations close to equilibrium are described using a DP model.""
DP–Tab neural network — ""Finally, a deep potential–table (DP–Tab) neural network is generated and used for performing MD simulations of the displacement damage in HfO 2 ferroelectric thin films.""","Potential energy, Atomic forces, Bulk modulus, Shear modulus, Young’s modulus, Defect formation energy","Potential energy — ""Across the entire range of atomic distances investigated, the potential energy values predicted by the DP–Tab model closely match the results obtained from the DFT calculations.""
Atomic forces — ""Each DPGEN cycle consisted of 400,000 training steps, and after convergence, we compared the energies and atomic forces predicted by DFT and DP for randomly selected structures in the final training dataset (~50000 configurations), as shown in Supplementary Fig.""
Bulk modulus — ""The bulk modulus, shear modulus, and Young’s modulus of this phase are 198.02, 81.04, and 213.93 GPa, respectively.""
Shear modulus — ""The bulk modulus, shear modulus, and Young’s modulus of this phase are 198.02, 81.04, and 213.93 GPa, respectively.""
Young’s modulus — ""The bulk modulus, shear modulus, and Young’s modulus of this phase are 198.02, 81.04, and 213.93 GPa, respectively.""
Defect formation energy — ""The O vacancy formation energy of the PO phase calculated using the DP model is 6 eV for three-coordinated O vacancies, 6.1 eV for four-coordinated O vacancies, and 5 eV for O interstitials; all these values are in good agreement with those obtained from the DFT calculations.""",50000,"Each DPGEN cycle consisted of 400,000 training steps, and after convergence, we compared the energies and atomic forces predicted by DFT and DP for randomly selected structures in the final training dataset (~50000 configurations), as shown in Supplementary Fig.",computational,"Each DPGEN cycle consisted of 400,000 training steps, and after convergence, we compared the energies and atomic forces predicted by DFT and DP for randomly selected structures in the final training dataset (~50000 configurations), as shown in Supplementary Fig.",NR,NR,NR,"The context does not list explicit input descriptors/features fed into the model. The DP model uses atomic configurations as input but no specific feature/descriptor set is named, so the list is empty.",MAE=0.01 eV/atom (energy),"The DP predictions and the DFT results were found to be in good agreement, with a mean absolute error ( MAE ) of 0.01 eV/atom for the energy and an MAE of 0.6 eV/Å for the force.",0.01,MAE,high,"ml_models, target_properties, dataset_size, data_type, and performance_metric were all clearly found. Only features/num_features are empty/null because the paper does not enumerate explicit input descriptors. This is an MLIP paper.",yes,"MLIP/force field for MD, not property prediction — the DP–Tab model predicts energies/forces to drive MD simulations of displacement damage.",claude-opus-4-8
Neural network potential for dislocation plasticity in ceramics,,2024,10.1038/s41524-024-01456-7,trained,Neural Network Potential (NNP),"Neural Network Potential (NNP) — ""Therefore, in this study, we employed short-ranged NNPs and achieved excellent accuracy compared to DFT results, even for nonstoichiometric and charged dislocation core structures.""","lattice constants, elastic constants, elastic moduli, phonon dispersion, surface energy, energy under volumetric strain, cleavage energy, formation energy of planar defects, stacking fault energy (SFE), dislocation core structure, dislocation slip barrier","lattice constants — ""Accuracy and performance of neural network potential The accuracy and performance of the NNP were first validated across various properties, including lattice constants, elastic constants, elastic moduli, phonon dispersion, surface energy, energy under volumetric strain, cleavage energy, formation energy of planar defects, SFE, dislocation core structure, and dislocation slip barrier.""
elastic constants — ""Accuracy and performance of neural network potential The accuracy and performance of the NNP were first validated across various properties, including lattice constants, elastic constants, elastic moduli, phonon dispersion, surface energy, energy under volumetric strain, cleavage energy, formation energy of planar defects, SFE, dislocation core structure, and dislocation slip barrier.""
elastic moduli — ""Accuracy and performance of neural network potential The accuracy and performance of the NNP were first validated across various properties, including lattice constants, elastic constants, elastic moduli, phonon dispersion, surface energy, energy under volumetric strain, cleavage energy, formation energy of planar defects, SFE, dislocation core structure, and dislocation slip barrier.""
phonon dispersion — ""Accuracy and performance of neural network potential The accuracy and performance of the NNP were first validated across various properties, including lattice constants, elastic constants, elastic moduli, phonon dispersion, surface energy, energy under volumetric strain, cleavage energy, formation energy of planar defects, SFE, dislocation core structure, and dislocation slip barrier.""
surface energy — ""Accuracy and performance of neural network potential The accuracy and performance of the NNP were first validated across various properties, including lattice constants, elastic constants, elastic moduli, phonon dispersion, surface energy, energy under volumetric strain, cleavage energy, formation energy of planar defects, SFE, dislocation core structure, and dislocation slip barrier.""
energy under volumetric strain — ""Accuracy and performance of neural network potential The accuracy and performance of the NNP were first validated across various properties, including lattice constants, elastic constants, elastic moduli, phonon dispersion, surface energy, energy under volumetric strain, cleavage energy, formation energy of planar defects, SFE, dislocation core structure, and dislocation slip barrier.""
cleavage energy — ""Accuracy and performance of neural network potential The accuracy and performance of the NNP were first validated across various properties, including lattice constants, elastic constants, elastic moduli, phonon dispersion, surface energy, energy under volumetric strain, cleavage energy, formation energy of planar defects, SFE, dislocation core structure, and dislocation slip barrier.""
formation energy of planar defects — ""Accuracy and performance of neural network potential The accuracy and performance of the NNP were first validated across various properties, including lattice constants, elastic constants, elastic moduli, phonon dispersion, surface energy, energy under volumetric strain, cleavage energy, formation energy of planar defects, SFE, dislocation core structure, and dislocation slip barrier.""
stacking fault energy (SFE) — ""The NNP-predicted SFEs are in good agreement with the DFT results, providing a robust foundation for atomistic simulations of dislocation plasticity in wurtzite ZnO and GaN using these NNPs, given that the SFE is a fundamental property for dislocation nucleation and slip 61 , 62 .""
dislocation core structure — ""Accuracy and performance of neural network potential The accuracy and performance of the NNP were first validated across various properties, including lattice constants, elastic constants, elastic moduli, phonon dispersion, surface energy, energy under volumetric strain, cleavage energy, formation energy of planar defects, SFE, dislocation core structure, and dislocation slip barrier.""
dislocation slip barrier — ""Accuracy and performance of neural network potential The accuracy and performance of the NNP were first validated across various properties, including lattice constants, elastic constants, elastic moduli, phonon dispersion, surface energy, energy under volumetric strain, cleavage energy, formation energy of planar defects, SFE, dislocation core structure, and dislocation slip barrier.""",NR,"Tables S2 , S6 , and S10 in the Supplementary Materials list the training dataset used to construct the NNPs of ZnO, GaN, and SrTiO 3 , all of which were calculated via DFT calculations.",computational,"Tables S2 , S6 , and S10 in the Supplementary Materials list the training dataset used to construct the NNPs of ZnO, GaN, and SrTiO 3 , all of which were calculated via DFT calculations.",NR,NR,NR,"The context does not specify the input descriptors/features fed into the NNP. The NNP uses atomic environments/structures as inputs, but no explicit feature list or count is provided in the given sentences.","RMSE=2.5 meV/atom (energy, SrTiO3 NNP)","The root mean square errors (RMSEs) of energy and atomic force are 3.5 meV/atom and 57.2 meV/Å for the ZnO NNP, 5.5 meV/atom and 84.7 meV/Å for the GaN NNP, and 2.5 meV/atom and 89.6 meV/Å for the SrTiO 3 NNP, respectively.",2.5,RMSE,medium,"ml_models, target_properties, data_type, and performance_metric are clearly supported. dataset_size is null (only referenced in supplementary tables, not stated numerically) and features/num_features are empty/null because no input descriptors are explicitly named.",yes,"MLIP/force field (NNP) for atomistic simulations of dislocation plasticity, not property prediction from a feature dataset.",claude-opus-4-8
